                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8962,                 1.9272,                 1.4679,                 2.0158,                 3.0643,                 1.3668,                0.45028,                0.36638,                0.32509,                0.13663,                 1.9124,                 1.5577,                 1.5331,                 2.0192,                 1.9958,                 1.4829,             0.00017517,             0.00017517,             0.00017517
                      2,                 1.8936,                 1.5965,                 1.4788,                  2.047,                 1.9898,                 1.4125,                 0.6747,                0.35578,                0.40868,                0.16717,                 1.9215,                 1.3781,                 1.5177,                 2.0795,                 1.7531,                  1.534,             0.00034183,             0.00034183,             0.00034183
                      3,                 1.9041,                 1.5715,                 1.5018,                 2.0578,                 1.8874,                 1.4466,                0.51191,                0.40764,                0.41329,                0.16789,                 1.9325,                   1.42,                 1.5658,                 2.0595,                 1.6487,                 1.5493,             0.00049981,             0.00049981,             0.00049981
                      4,                  1.899,                 1.5627,                 1.5168,                 2.0687,                  1.859,                 1.4696,                0.55353,                0.46156,                0.45331,                0.19109,                 1.8587,                 1.3166,                 1.5205,                  2.032,                 1.5731,                 1.5274,             0.00048694,             0.00048694,             0.00048694
                      5,                 1.8786,                 1.4484,                 1.5031,                 2.0375,                  1.738,                 1.4584,                0.64861,                0.50503,                0.53121,                0.23059,                 1.8474,                 1.2964,                 1.4977,                 1.9659,                  1.432,                 1.4897,             0.00048694,             0.00048694,             0.00048694
                      6,                 1.8225,                 1.3486,                 1.4432,                 2.0055,                 1.6204,                 1.4097,                0.70413,                0.54759,                0.57934,                0.26888,                 1.8107,                 1.1457,                 1.4706,                 1.9237,                 1.3324,                  1.448,             0.00047393,             0.00047393,             0.00047393
                      7,                  1.809,                 1.2727,                 1.4453,                 1.9919,                 1.5379,                 1.4151,                0.66483,                0.45973,                0.54538,                0.23613,                 1.8342,                 1.2165,                 1.4506,                 1.9874,                 1.3321,                 1.4626,             0.00046091,             0.00046091,             0.00046091
                      8,                 1.8006,                 1.2544,                 1.4321,                 1.9855,                 1.4892,                  1.403,                0.67172,                0.55207,                0.58098,                0.24983,                 1.8096,                 1.0906,                 1.4679,                 1.9518,                 1.2626,                 1.4713,             0.00044789,             0.00044789,             0.00044789
                      9,                 1.7726,                 1.1942,                 1.4336,                 1.9504,                  1.444,                    1.4,                0.66262,                0.53457,                0.56726,                0.25265,                 1.7999,                 1.0571,                 1.4582,                 1.9347,                 1.2253,                 1.4436,             0.00043487,             0.00043487,             0.00043487
                     10,                  1.765,                  1.154,                 1.4196,                 1.9651,                 1.3728,                 1.3971,                0.69085,                0.60955,                 0.6251,                0.28687,                 1.7782,                 1.0539,                 1.4481,                 1.9092,                 1.2666,                 1.4323,             0.00042185,             0.00042185,             0.00042185
                     11,                  1.747,                 1.1273,                 1.4118,                 1.9383,                 1.3346,                 1.3837,                0.68958,                0.58707,                0.60927,                 0.2914,                 1.7739,                 1.0001,                 1.4386,                 1.9016,                 1.1559,                 1.4195,             0.00040883,             0.00040883,             0.00040883
                     12,                 1.7334,                 1.0998,                 1.4011,                 1.9243,                 1.3073,                 1.3762,                0.73919,                0.59704,                0.64486,                0.30724,                 1.7672,                0.96815,                 1.4369,                 1.9121,                 1.1074,                 1.4351,             0.00039581,             0.00039581,             0.00039581
                     13,                 1.7289,                 1.0739,                 1.3901,                 1.9194,                 1.2737,                  1.361,                0.77237,                0.58554,                0.64418,                0.30021,                 1.7765,                0.98279,                 1.4483,                 1.9118,                 1.0842,                 1.4294,              0.0003828,              0.0003828,              0.0003828
                     14,                 1.7162,                 1.0455,                 1.3829,                 1.9152,                 1.2437,                 1.3654,                0.78353,                0.59958,                0.65604,                0.32636,                 1.7688,                0.94543,                 1.4413,                 1.8885,                 1.0555,                  1.418,             0.00036978,             0.00036978,             0.00036978
                     15,                 1.7128,                 1.0507,                 1.3912,                 1.8929,                 1.2302,                 1.3635,                0.75668,                0.62071,                0.74506,                0.36061,                 1.7749,                0.95248,                 1.4451,                 1.9011,                 1.1036,                 1.4374,             0.00035676,             0.00035676,             0.00035676
                     16,                 1.6867,                0.98835,                 1.3795,                 1.8708,                 1.1766,                 1.3528,                0.75842,                0.63079,                0.67899,                0.32873,                 1.7533,                0.90418,                  1.424,                 1.8677,                 1.0463,                 1.4064,             0.00034374,             0.00034374,             0.00034374
                     17,                 1.6742,                0.96025,                 1.3734,                 1.8627,                 1.1486,                 1.3475,                0.75591,                0.62325,                0.75478,                0.37608,                 1.7507,                0.89665,                 1.4208,                 1.8937,                 1.0252,                 1.4185,             0.00033072,             0.00033072,             0.00033072
                     18,                 1.6674,                0.94686,                 1.3622,                 1.8594,                 1.1202,                 1.3379,                0.80719,                0.64181,                0.77331,                 0.3713,                 1.7303,                0.91073,                 1.4216,                 1.8601,                 1.0375,                 1.4139,              0.0003177,              0.0003177,              0.0003177
                     19,                  1.643,                0.92515,                  1.345,                 1.8287,                 1.0953,                 1.3224,                0.75771,                0.64929,                0.77489,                0.37894,                 1.7371,                0.91061,                 1.4123,                 1.8679,                  1.009,                 1.4119,             0.00030469,             0.00030469,             0.00030469
                     20,                 1.6413,                0.92828,                 1.3376,                  1.842,                 1.0892,                 1.3176,                0.83785,                0.65243,                0.80221,                0.41505,                 1.7399,                0.82086,                 1.4129,                 1.8651,                0.92405,                 1.4041,             0.00030469,             0.00030469,             0.00030469
                     21,                 1.6157,                0.87746,                 1.3255,                 1.8122,                 1.0388,                 1.3054,                0.85864,                0.67729,                0.83291,                0.40538,                 1.7496,                0.84374,                 1.4186,                 1.8751,                0.96939,                 1.4123,             0.00027865,             0.00027865,             0.00027865
                     22,                 1.6104,                0.87646,                 1.3254,                 1.7985,                 1.0262,                 1.3058,                0.84082,                0.64635,                0.77484,                 0.3877,                 1.7296,                0.81867,                 1.4111,                 1.8414,                0.93534,                 1.4052,             0.00026563,             0.00026563,             0.00026563
                     23,                 1.5995,                0.87234,                  1.321,                 1.7901,                 1.0023,                 1.3003,                0.83206,                0.65242,                 0.8183,                0.42009,                 1.7372,                0.85282,                  1.416,                 1.8792,                 0.9296,                 1.4122,             0.00025261,             0.00025261,             0.00025261
                     24,                 1.5949,                0.85789,                 1.3289,                 1.7847,                0.99634,                 1.3116,                0.70877,                0.78991,                0.78462,                0.42206,                 1.7148,                0.82341,                 1.3988,                   1.85,                0.94822,                 1.3893,             0.00023959,             0.00023959,             0.00023959
                     25,                 1.5631,                0.82346,                 1.2996,                 1.7545,                0.95729,                 1.2764,                0.81797,                0.67239,                0.79946,                0.41675,                 1.7249,                0.81523,                 1.4085,                 1.8436,                 0.9367,                 1.3964,             0.00022657,             0.00022657,             0.00022657
                     26,                 1.5517,                0.80508,                 1.2921,                 1.7427,                 0.9332,                 1.2765,                0.73848,                0.80559,                0.82788,                0.41771,                 1.7116,                0.81161,                 1.3875,                 1.8295,                0.89904,                 1.3784,             0.00021356,             0.00021356,             0.00021356
                     27,                  1.539,                0.78752,                 1.2866,                  1.729,                0.90036,                 1.2706,                0.69854,                0.83046,                0.82286,                0.42137,                 1.7264,                0.78216,                 1.4122,                 1.8512,                  0.863,                 1.4033,             0.00020054,             0.00020054,             0.00020054
                     28,                  1.524,                 0.7781,                 1.2892,                 1.7172,                0.89484,                 1.2729,                0.83845,                  0.701,                0.83539,                0.42914,                 1.7212,                0.75182,                 1.3958,                 1.8401,                0.82668,                 1.3907,             0.00018752,             0.00018752,             0.00018752
                     29,                 1.5186,                0.75586,                 1.2698,                 1.7139,                0.87384,                  1.255,                0.82302,                0.69389,                0.78385,                0.41198,                 1.7234,                0.77419,                 1.3978,                 1.8493,                0.85424,                 1.3914,              0.0001745,              0.0001745,              0.0001745
                     30,                 1.4974,                 0.7414,                 1.2653,                 1.6884,                0.85276,                 1.2529,                0.81132,                0.71302,                0.75737,                0.38867,                 1.7132,                0.76769,                 1.3887,                  1.841,                0.83003,                 1.3877,             0.00016148,             0.00016148,             0.00016148
                     31,                  1.524,                0.69749,                 1.2781,                 1.6889,                0.74853,                 1.2732,                0.81272,                0.69845,                 0.7546,                0.38083,                 1.7336,                0.75517,                 1.4163,                 1.8555,                0.83142,                 1.4106,             0.00014846,             0.00014846,             0.00014846
                     32,                 1.5245,                0.69365,                 1.2819,                   1.68,                0.73572,                  1.276,                0.83784,                0.67801,                0.75794,                0.37775,                 1.7221,                0.75039,                 1.3944,                 1.8511,                0.81881,                 1.3913,             0.00013544,             0.00013544,             0.00013544
                     33,                 1.5046,                0.68008,                 1.2591,                 1.6777,                0.72417,                 1.2511,                0.85363,                0.69711,                0.82938,                0.42589,                  1.729,                0.74466,                 1.4027,                 1.8632,                0.82343,                 1.3962,             0.00012243,             0.00012243,             0.00012243
