epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,967.065,1.94829,3.13914,1.36477,0.58047,0.12992,0.10071,0.04934,1.89893,2.56769,1.32081,0.000173908,0.000173908,0.000173908
2,1911.76,1.90145,2.03148,1.33994,0.53549,0.27524,0.26787,0.12655,1.89831,1.91618,1.38358,0.000345784,0.000345784,0.000345784
3,2847.13,1.87884,1.81885,1.34472,0.46434,0.31275,0.2823,0.13978,1.85567,1.88186,1.3472,0.000514188,0.000514188,0.000514188
4,3784.21,1.84159,1.698,1.32546,0.57575,0.33447,0.36766,0.17974,1.84151,1.64038,1.34946,0.000510378,0.000510378,0.000510378
5,4719.8,1.82162,1.6,1.31383,0.62028,0.36399,0.41215,0.19686,1.7981,1.46909,1.31748,0.00050517,0.00050517,0.00050517
6,5657.78,1.80078,1.51386,1.30819,0.61224,0.41307,0.43008,0.20385,1.79537,1.44366,1.32574,0.000499963,0.000499963,0.000499963
7,6593.62,1.79709,1.41728,1.30229,0.71384,0.43996,0.51407,0.25278,1.79469,1.33961,1.32611,0.000494756,0.000494756,0.000494756
8,7534.47,1.76379,1.37651,1.29928,0.65425,0.44657,0.48083,0.2337,1.81636,1.36798,1.32694,0.000489548,0.000489548,0.000489548
9,8470.71,1.76416,1.32987,1.28492,0.71436,0.45852,0.55997,0.27936,1.76757,1.24051,1.30502,0.000484341,0.000484341,0.000484341
10,9411.14,1.75603,1.29859,1.28671,0.72784,0.48068,0.58811,0.28748,1.76847,1.19094,1.30979,0.000479133,0.000479133,0.000479133
11,10346.6,1.74557,1.2549,1.27754,0.6351,0.53625,0.58612,0.27736,1.78707,1.24559,1.33166,0.000473926,0.000473926,0.000473926
12,11285,1.74154,1.2251,1.28218,0.72566,0.55794,0.61412,0.29535,1.79997,1.15752,1.33454,0.000468719,0.000468719,0.000468719
13,12221.9,1.72855,1.20211,1.27817,0.76896,0.52379,0.62118,0.31066,1.75012,1.1643,1.29373,0.000463511,0.000463511,0.000463511
14,13161.9,1.71587,1.17248,1.27315,0.74188,0.58847,0.63579,0.30499,1.75324,1.10565,1.30721,0.000458304,0.000458304,0.000458304
15,14103.9,1.71347,1.13709,1.26215,0.73432,0.59068,0.63951,0.30809,1.70593,1.06632,1.29077,0.000453096,0.000453096,0.000453096
